datetime,AS3320,AS7922,AS6830,AS3265,AS8437,AS29562,AS23855,AS13287,AS8632,Remaining
2017-06-20T23:59:59Z,0,3.0,5.0,15.0,0,3.0,0,4.0,0,158.0
2017-06-21T23:59:59Z,0,3.0,7.0,13.0,0,3.0,0,4.0,0,162.0
2017-06-22T23:59:59Z,0,4.0,8.0,18.0,0,3.0,0,4.0,0,157.0
2017-06-23T23:59:59Z,0,3.0,7.0,19.0,0,3.0,0,4.0,0,155.0
2017-06-24T23:59:59Z,0,3.0,5.0,20.0,0,3.0,0,4.0,0,155.0
2017-06-25T23:59:59Z,0,0,3.0,17.0,0,3.0,0,4.0,0,160.0
2017-06-26T23:59:59Z,0,3.0,6.0,17.0,0,3.0,0,4.0,0,157.0
2017-06-27T23:59:59Z,0,3.0,8.0,15.0,0,3.0,0,4.0,0,156.0
2017-06-28T23:59:54Z,0,5.0,11.0,16.0,0,3.0,0,4.0,0,162.0
2017-06-29T23:59:59Z,0,3.0,6.0,17.0,0,3.0,0,4.0,0,165.0
2017-06-30T23:59:59Z,0,3.0,6.0,16.0,0,4.0,0,4.0,0,174.0
2017-07-01T23:59:57Z,0,5.0,3.0,16.0,0,3.0,0,4.0,0,172.0
2017-07-02T23:59:59Z,0,5.0,3.0,15.0,0,3.0,0,4.0,0,164.0
2017-07-03T23:59:59Z,0,6.0,6.0,14.0,0,3.0,0,4.0,0,184.0
2017-07-04T23:59:59Z,0,4.0,4.0,13.0,0,3.0,0,4.0,0,181.0
2017-07-05T23:59:58Z,0,0,4.0,12.0,0,3.0,0,4.0,0,179.0
2017-07-06T23:59:58Z,0,0,7.0,11.0,0,3.0,0,4.0,0,181.0
2017-07-07T23:59:58Z,0,0,4.0,11.0,0,3.0,0,4.0,0,179.0
2017-07-08T23:59:59Z,0,0,4.0,10.0,0,0,0,4.0,0,169.0
2017-07-09T23:59:59Z,0,0,4.0,11.0,0,0,0,4.0,0,172.0
2017-07-10T23:59:57Z,0,0,5.0,11.0,0,3.0,0,4.0,0,178.0
2017-07-11T23:59:57Z,0,0,4.0,10.0,0,3.0,0,4.0,0,171.0
2017-07-12T23:59:59Z,0,0,4.0,11.0,0,0,0,4.0,0,185.0
2017-07-13T23:59:59Z,0,0,6.0,10.0,0,0,0,4.0,0,175.0
2017-07-14T23:59:58Z,0,0,7.0,12.0,0,0,0,4.0,0,179.0
2017-07-15T23:59:59Z,0,4.0,4.0,10.0,0,0,0,4.0,0,170.0
2017-07-16T23:59:58Z,0,3.0,5.0,13.0,0,0,0,4.0,0,169.0
2017-07-17T23:59:59Z,0,3.0,0,14.0,0,0,0,4.0,0,173.0
2017-07-18T23:59:59Z,0,3.0,0,13.0,0,0,0,4.0,0,179.0
2017-07-19T23:59:56Z,0,0,4.0,15.0,0,0,0,4.0,0,184.0
2017-07-20T23:59:59Z,0,0,6.0,12.0,0,0,0,4.0,0,185.0
2017-07-21T23:59:59Z,0,3.0,0,13.0,0,0,0,4.0,0,179.0
2017-07-22T23:59:59Z,0,4.0,5.0,16.0,0,0,0,4.0,0,171.0
2017-07-23T23:59:59Z,0,3.0,5.0,13.0,0,0,0,4.0,0,172.0
2017-07-24T23:59:59Z,0,3.0,4.0,12.0,0,0,0,4.0,0,185.0
2017-07-25T23:59:59Z,0,3.0,5.0,14.0,0,3.0,0,4.0,0,174.0
2017-07-26T23:59:58Z,0,3.0,6.0,10.0,0,0,0,4.0,0,181.0
2017-07-27T23:59:59Z,0,4.0,6.0,16.0,0,0,0,4.0,0,174.0
2017-07-28T23:59:58Z,0,0,4.0,13.0,0,0,0,4.0,0,181.0
2017-07-29T23:59:58Z,0,0,5.0,13.0,0,0,0,4.0,0,176.0
2017-07-30T23:59:56Z,0,0,4.0,16.0,0,0,0,4.0,0,173.0
2017-07-31T23:59:59Z,0,0,4.0,11.0,0,0,0,4.0,0,174.0
2017-08-01T23:59:57Z,0,4.0,6.0,13.0,0,0,0,4.0,0,171.0
2017-08-02T23:59:58Z,0,3.0,6.0,15.0,0,0,0,4.0,0,168.0
2017-08-03T23:59:58Z,0,3.0,4.0,14.0,0,0,0,4.0,0,165.0
2017-08-04T23:59:57Z,0,3.0,0,16.0,0,0,0,4.0,0,165.0
2017-08-05T23:59:57Z,0,3.0,3.0,14.0,0,0,0,4.0,0,165.0
