datetime,AS15169,AS13335,AS36692,AS42,AS7922,AS3320,AS12322,AS2860,AS7342,Remaining
2017-04-20T23:59:59Z,3894.0,0,619.0,0,470.0,316.0,257.0,0,30.0,5561.0
2017-04-21T23:59:59Z,3931.0,0,637.0,0,473.0,329.0,258.0,0,30.0,5658.0
2017-04-22T23:59:59Z,3921.0,0,650.0,0,475.0,328.0,259.0,0,31.0,5678.0
2017-04-23T23:59:59Z,3927.0,0,637.0,0,473.0,328.0,262.0,0,33.0,5713.0
2017-04-24T23:59:59Z,3984.0,0,638.0,0,471.0,329.0,268.0,0,31.0,5749.0
2017-04-25T23:59:59Z,4002.0,0,638.0,0,472.0,329.0,268.0,0,32.0,5787.0
2017-04-26T23:59:59Z,4001.0,0,657.0,0,470.0,333.0,260.0,0,32.0,5786.0
2017-04-27T23:59:59Z,3996.0,0,646.0,0,479.0,329.0,263.0,0,30.0,5807.0
2017-04-28T23:59:59Z,4014.0,0,645.0,0,480.0,333.0,266.0,0,30.0,5805.0
2017-04-29T23:59:59Z,3999.0,0,645.0,0,482.0,335.0,273.0,0,31.0,5818.0
2017-04-30T23:59:59Z,3970.0,0,647.0,0,483.0,336.0,274.0,0,31.0,5828.0
2017-05-01T23:59:59Z,3990.0,0,647.0,0,475.0,345.0,273.0,0,31.0,5835.0
2017-05-02T23:59:59Z,4009.0,0,644.0,0,474.0,338.0,274.0,0,30.0,5850.0
2017-05-03T23:59:59Z,4021.0,0,667.0,0,468.0,346.0,279.0,0,43.0,5850.0
2017-05-04T23:59:59Z,4014.0,0,658.0,0,472.0,346.0,278.0,0,31.0,5883.0
2017-05-05T23:59:59Z,4035.0,0,656.0,0,468.0,334.0,279.0,0,31.0,5878.0
2017-05-06T23:59:59Z,4034.0,0,659.0,0,469.0,332.0,279.0,0,31.0,5873.0
2017-05-07T23:59:59Z,4018.0,0,664.0,0,469.0,333.0,283.0,0,32.0,5867.0
2017-05-08T23:59:59Z,4068.0,0,656.0,0,468.0,333.0,277.0,0,32.0,5890.0
2017-05-09T23:59:59Z,4047.0,0,660.0,0,466.0,333.0,276.0,0,31.0,5908.0
2017-05-10T23:59:59Z,4042.0,0,666.0,0,463.0,332.0,273.0,0,31.0,5907.0
2017-05-11T23:59:59Z,4085.0,0,669.0,0,461.0,333.0,270.0,0,32.0,5898.0
2017-05-12T23:59:59Z,4046.0,0,670.0,0,465.0,339.0,269.0,0,31.0,5908.0
2017-05-13T23:59:59Z,4039.0,0,673.0,0,464.0,339.0,268.0,0,32.0,5873.0
2017-05-14T23:59:59Z,4054.0,0,654.0,0,465.0,336.0,275.0,0,32.0,5866.0
2017-05-15T23:59:59Z,4062.0,0,660.0,0,462.0,336.0,275.0,0,30.0,5957.0
2017-05-16T23:59:59Z,4083.0,0,666.0,0,466.0,335.0,278.0,0,30.0,5950.0
2017-05-17T23:59:59Z,4061.0,0,650.0,0,461.0,341.0,273.0,0,30.0,6027.0
2017-05-18T23:59:59Z,4073.0,0,665.0,0,464.0,335.0,276.0,0,31.0,6017.0
2017-05-19T23:59:59Z,4074.0,0,669.0,0,469.0,338.0,276.0,0,31.0,6027.0
2017-05-20T23:59:59Z,4074.0,0,676.0,0,463.0,341.0,281.0,0,31.0,5991.0
2017-05-21T23:59:59Z,4044.0,0,665.0,0,463.0,344.0,282.0,0,30.0,6000.0
2017-05-22T23:59:59Z,4067.0,0,663.0,0,460.0,347.0,290.0,0,30.0,6048.0
2017-05-23T23:59:59Z,4064.0,0,669.0,0,463.0,341.0,288.0,0,30.0,6065.0
2017-05-24T23:59:59Z,4071.0,0,675.0,0,465.0,338.0,293.0,0,30.0,6024.0
2017-05-25T23:59:59Z,4049.0,0,665.0,0,470.0,338.0,291.0,0,23.0,6020.0
2017-05-26T23:59:59Z,4070.0,0,671.0,0,474.0,333.0,291.0,0,24.0,5987.0
2017-05-27T23:59:59Z,4039.0,0,669.0,0,465.0,333.0,288.0,0,25.0,5978.0
2017-05-28T23:59:59Z,4043.0,0,681.0,0,470.0,329.0,290.0,0,25.0,5970.0
2017-05-29T23:59:59Z,4073.0,0,670.0,0,469.0,338.0,288.0,0,24.0,6025.0
2017-05-30T23:59:59Z,4087.0,0,686.0,0,471.0,333.0,294.0,0,25.0,6035.0
2017-05-31T23:59:59Z,4092.0,0,667.0,0,474.0,335.0,289.0,0,25.0,6051.0
2017-06-01T23:59:59Z,4089.0,0,676.0,0,475.0,334.0,288.0,0,25.0,6042.0
2017-06-02T23:59:59Z,4081.0,0,671.0,0,471.0,332.0,289.0,0,24.0,6054.0
2017-06-03T23:59:59Z,4075.0,0,675.0,0,467.0,337.0,294.0,0,24.0,6029.0
2017-06-04T23:59:59Z,4085.0,0,664.0,0,474.0,339.0,290.0,0,24.0,6037.0
2017-06-05T23:59:59Z,4112.0,0,685.0,0,463.0,338.0,292.0,0,24.0,6045.0
2017-06-06T23:59:59Z,4115.0,0,683.0,0,471.0,346.0,292.0,0,17.0,6129.0
2017-06-07T23:59:59Z,4140.0,0,670.0,0,463.0,344.0,289.0,0,19.0,6113.0
2017-06-08T23:59:59Z,4090.0,0,678.0,0,468.0,341.0,286.0,0,28.0,6153.0
2017-06-09T23:59:59Z,4074.0,0,673.0,0,467.0,344.0,287.0,0,25.0,6162.0
2017-06-10T23:59:59Z,4078.0,0,673.0,0,466.0,344.0,291.0,0,25.0,6131.0
2017-06-11T23:59:59Z,4052.0,0,672.0,0,462.0,338.0,293.0,0,26.0,6149.0
2017-06-12T23:59:59Z,4056.0,0,676.0,0,462.0,340.0,289.0,0,26.0,6178.0
2017-06-13T23:59:59Z,4078.0,0,667.0,0,466.0,339.0,289.0,0,25.0,6192.0
2017-06-14T23:59:59Z,4110.0,0,663.0,0,463.0,342.0,289.0,0,25.0,6144.0
2017-06-15T23:59:59Z,4100.0,0,658.0,0,467.0,342.0,288.0,0,26.0,6194.0
2017-06-16T23:59:59Z,4055.0,0,676.0,0,457.0,345.0,292.0,0,28.0,6178.0
2017-06-17T23:59:59Z,4057.0,0,673.0,0,457.0,346.0,292.0,0,28.0,6140.0
2017-06-18T23:59:59Z,4030.0,0,682.0,0,454.0,349.0,289.0,0,27.0,6140.0
2017-06-19T23:59:59Z,4097.0,0,693.0,0,457.0,353.0,298.0,0,27.0,6245.0
2017-06-20T23:59:59Z,4075.0,0,682.0,0,453.0,362.0,296.0,0,28.0,6210.0
2017-06-21T23:59:59Z,4061.0,0,682.0,0,458.0,369.0,293.0,0,28.0,6185.0
2017-06-22T23:59:59Z,4034.0,0,687.0,0,459.0,367.0,294.0,0,28.0,6209.0
2017-06-23T23:59:59Z,4052.0,0,684.0,0,459.0,374.0,292.0,0,29.0,6173.0
2017-06-24T23:59:59Z,4017.0,0,678.0,0,458.0,374.0,282.0,0,29.0,6188.0
2017-06-25T23:59:59Z,4055.0,0,667.0,0,456.0,374.0,286.0,0,29.0,6168.0
2017-06-26T23:59:59Z,4093.0,0,693.0,0,457.0,368.0,294.0,0,29.0,6251.0
2017-06-27T23:59:59Z,4070.0,0,688.0,0,458.0,366.0,288.0,0,11.0,6266.0
2017-06-28T23:59:59Z,4080.0,0,675.0,0,460.0,364.0,291.0,0,11.0,6291.0
2017-06-29T23:59:59Z,4090.0,0,683.0,0,455.0,365.0,288.0,0,10.0,6267.0
2017-06-30T23:59:59Z,4102.0,0,687.0,0,460.0,368.0,286.0,0,26.0,6240.0
2017-07-01T23:59:59Z,4106.0,0,693.0,0,464.0,360.0,281.0,0,26.0,6207.0
2017-07-02T23:59:59Z,4093.0,0,708.0,0,468.0,361.0,285.0,0,26.0,6200.0
2017-07-03T23:59:59Z,4125.0,0,700.0,0,460.0,372.0,292.0,0,26.0,6271.0
2017-07-04T23:59:59Z,4135.0,0,691.0,0,467.0,368.0,297.0,0,26.0,6277.0
2017-07-05T23:59:59Z,4132.0,0,702.0,0,466.0,368.0,296.0,0,26.0,6260.0
2017-07-06T23:59:59Z,4113.0,0,702.0,0,466.0,369.0,295.0,0,26.0,6255.0
2017-07-07T23:59:59Z,4085.0,0,697.0,0,463.0,369.0,293.0,0,26.0,6287.0
2017-07-08T23:59:59Z,4054.0,0,697.0,0,466.0,372.0,294.0,0,26.0,6266.0
2017-07-09T23:59:59Z,4094.0,0,682.0,0,473.0,370.0,302.0,0,26.0,6215.0
2017-07-10T23:59:59Z,4098.0,0,708.0,0,474.0,372.0,301.0,0,26.0,6345.0
2017-07-11T23:59:59Z,4133.0,0,694.0,0,471.0,375.0,302.0,0,26.0,6317.0
2017-07-12T23:59:59Z,4121.0,0,708.0,0,467.0,377.0,297.0,0,27.0,6289.0
2017-07-13T23:59:59Z,4098.0,0,710.0,0,465.0,378.0,301.0,0,27.0,6287.0
2017-07-14T23:59:59Z,4118.0,0,691.0,0,469.0,378.0,308.0,0,27.0,6267.0
2017-07-15T23:59:59Z,4079.0,0,697.0,0,466.0,376.0,306.0,0,27.0,6254.0
2017-07-16T23:59:59Z,4068.0,0,695.0,0,463.0,378.0,308.0,0,27.0,6248.0
2017-07-17T23:59:59Z,4151.0,0,703.0,0,461.0,381.0,317.0,0,27.0,6295.0
2017-07-18T23:59:59Z,4133.0,0,711.0,0,461.0,381.0,320.0,0,27.0,6308.0
2017-07-19T23:59:59Z,4140.0,0,700.0,0,459.0,378.0,339.0,0,23.0,6308.0
2017-07-20T23:59:59Z,4113.0,0,707.0,0,459.0,378.0,337.0,0,27.0,6305.0
2017-07-21T23:59:59Z,4114.0,0,704.0,0,461.0,374.0,338.0,0,27.0,6299.0
2017-07-22T23:59:59Z,4098.0,0,698.0,0,458.0,371.0,335.0,0,27.0,6278.0
2017-07-23T23:59:59Z,4103.0,0,695.0,0,458.0,376.0,336.0,0,27.0,6294.0
2017-07-24T23:59:59Z,4140.0,0,690.0,0,461.0,377.0,341.0,0,28.0,6378.0
2017-07-25T23:59:59Z,4128.0,0,689.0,0,461.0,380.0,343.0,0,28.0,6396.0
2017-07-26T23:59:59Z,4143.0,0,687.0,0,459.0,385.0,345.0,0,27.0,6382.0
2017-07-27T23:59:59Z,4141.0,0,690.0,0,454.0,380.0,341.0,0,27.0,6385.0
2017-07-28T23:59:59Z,4134.0,0,687.0,0,458.0,383.0,332.0,0,28.0,6402.0
2017-07-29T23:59:59Z,4134.0,0,696.0,0,451.0,382.0,334.0,0,28.0,6352.0
2017-07-30T23:59:59Z,4111.0,0,683.0,0,453.0,384.0,324.0,0,27.0,6384.0
2017-07-31T23:59:59Z,4143.0,0,682.0,0,450.0,378.0,325.0,0,27.0,6386.0
2017-08-01T23:59:59Z,4168.0,0,689.0,0,453.0,381.0,326.0,0,28.0,6349.0
2017-08-02T23:59:59Z,4145.0,0,692.0,0,447.0,377.0,322.0,0,26.0,6388.0
2017-08-03T23:59:59Z,4146.0,0,685.0,0,451.0,381.0,317.0,0,27.0,6366.0
2017-08-04T23:59:59Z,4143.0,0,694.0,0,457.0,383.0,318.0,0,29.0,6363.0
2017-08-05T23:59:59Z,4109.0,0,687.0,0,453.0,379.0,320.0,0,28.0,6377.0
2017-08-06T23:59:59Z,4128.0,0,688.0,0,451.0,388.0,320.0,0,29.0,6378.0
2017-08-07T23:59:59Z,4135.0,0,685.0,0,449.0,384.0,324.0,0,27.0,6382.0
2017-08-08T23:59:59Z,4158.0,0,680.0,0,452.0,387.0,323.0,0,23.0,6372.0
2017-08-09T23:59:59Z,4132.0,0,690.0,0,450.0,382.0,324.0,0,32.0,6369.0
2017-08-10T23:59:59Z,4152.0,0,679.0,0,445.0,382.0,327.0,0,33.0,6361.0
2017-08-11T23:59:59Z,4131.0,0,696.0,0,447.0,386.0,320.0,0,33.0,6356.0
2017-08-12T23:59:59Z,4150.0,0,672.0,0,446.0,385.0,314.0,0,31.0,6338.0
2017-08-13T23:59:59Z,4119.0,0,679.0,0,454.0,388.0,318.0,0,33.0,6314.0
2017-08-14T23:59:59Z,4179.0,0,685.0,0,454.0,392.0,321.0,0,33.0,6509.0
2017-08-15T23:59:59Z,4179.0,0,689.0,0,463.0,397.0,317.0,0,32.0,6480.0
2017-08-16T23:59:59Z,4189.0,0,695.0,0,459.0,394.0,316.0,0,34.0,6471.0
2017-08-17T23:59:59Z,4161.0,0,700.0,0,461.0,391.0,319.0,0,32.0,6485.0
2017-08-18T23:59:59Z,4195.0,0,695.0,0,469.0,393.0,322.0,0,32.0,6455.0
2017-08-19T23:59:59Z,4164.0,0,685.0,0,458.0,389.0,322.0,0,32.0,6447.0
2017-08-20T23:59:59Z,4153.0,0,690.0,0,462.0,386.0,322.0,0,32.0,6454.0
2017-08-21T23:59:59Z,4183.0,0,692.0,0,464.0,394.0,323.0,0,30.0,6512.0
2017-08-22T23:59:59Z,4153.0,0,710.0,0,467.0,389.0,325.0,0,29.0,6527.0
2017-08-23T23:59:59Z,4159.0,0,697.0,0,462.0,388.0,327.0,0,31.0,6528.0
2017-08-24T23:59:59Z,4164.0,0,698.0,0,469.0,389.0,325.0,0,30.0,6520.0
2017-08-25T23:59:59Z,4173.0,0,686.0,0,468.0,387.0,329.0,0,29.0,6498.0
2017-08-26T23:59:59Z,4148.0,0,694.0,0,459.0,389.0,335.0,0,29.0,6511.0
2017-08-27T23:59:59Z,4159.0,0,698.0,0,457.0,393.0,335.0,0,29.0,6470.0
2017-08-28T23:59:59Z,4174.0,0,691.0,0,459.0,396.0,338.0,0,28.0,6605.0
2017-08-29T23:59:59Z,4198.0,0,691.0,0,457.0,400.0,335.0,0,28.0,6573.0
2017-08-30T23:59:59Z,4184.0,0,696.0,0,458.0,401.0,338.0,0,22.0,6572.0
2017-08-31T23:59:59Z,4170.0,0,678.0,0,451.0,401.0,338.0,0,26.0,6507.0
2017-09-01T23:59:59Z,4122.0,0,686.0,0,454.0,398.0,337.0,0,27.0,6470.0
2017-09-02T23:59:59Z,4118.0,0,692.0,0,449.0,394.0,341.0,0,26.0,6399.0
2017-09-03T23:59:59Z,4104.0,0,683.0,0,447.0,397.0,335.0,0,26.0,6398.0
2017-09-04T23:59:59Z,4143.0,0,689.0,0,453.0,398.0,333.0,0,26.0,6437.0
2017-09-05T23:59:59Z,4166.0,0,669.0,0,456.0,402.0,339.0,0,26.0,6507.0
2017-09-06T23:59:59Z,4041.0,0,668.0,0,452.0,399.0,337.0,0,24.0,6413.0
2017-09-07T23:59:59Z,4112.0,0,678.0,0,452.0,394.0,341.0,0,27.0,6418.0
2017-09-08T23:59:59Z,4162.0,0,686.0,0,451.0,399.0,335.0,0,27.0,6412.0
2017-09-09T23:59:59Z,4116.0,0,708.0,0,456.0,407.0,338.0,0,27.0,6428.0
2017-09-10T23:59:59Z,4143.0,0,690.0,0,450.0,405.0,333.0,0,27.0,6411.0
2017-09-11T23:59:59Z,4263.0,0,705.0,0,439.0,402.0,338.0,0,29.0,6579.0
2017-09-12T23:59:59Z,4290.0,0,697.0,0,441.0,400.0,339.0,0,50.0,6689.0
2017-09-13T23:59:59Z,4267.0,0,716.0,0,440.0,397.0,334.0,0,29.0,6570.0
2017-09-14T23:59:59Z,4268.0,0,713.0,0,444.0,395.0,333.0,0,29.0,6559.0
2017-09-15T23:59:59Z,4258.0,0,717.0,0,448.0,397.0,331.0,0,26.0,6561.0
2017-09-16T23:59:59Z,4290.0,0,707.0,0,450.0,391.0,331.0,0,25.0,6549.0
2017-09-17T23:59:59Z,4287.0,0,710.0,0,453.0,384.0,337.0,0,27.0,6551.0
2017-09-18T23:59:59Z,4306.0,0,714.0,0,451.0,382.0,340.0,0,26.0,6646.0
2017-09-19T23:59:59Z,4339.0,0,712.0,0,452.0,384.0,348.0,0,26.0,6649.0
2017-09-20T23:59:59Z,4327.0,0,716.0,0,447.0,383.0,352.0,0,26.0,6681.0
2017-09-21T23:59:59Z,4334.0,0,713.0,0,449.0,384.0,356.0,0,27.0,6685.0
2017-09-22T23:59:59Z,4323.0,0,712.0,0,449.0,385.0,356.0,0,27.0,6674.0
2017-09-23T23:59:59Z,4313.0,0,711.0,0,447.0,380.0,352.0,0,27.0,6658.0
2017-09-24T23:59:59Z,4315.0,0,716.0,0,447.0,383.0,353.0,0,27.0,6640.0
2017-09-25T23:59:59Z,4370.0,0,724.0,0,453.0,383.0,352.0,0,27.0,6679.0
2017-09-26T23:59:59Z,4376.0,0,724.0,0,449.0,382.0,351.0,0,28.0,6705.0
2017-09-27T23:59:59Z,4373.0,0,721.0,0,454.0,390.0,350.0,0,28.0,6686.0
2017-09-28T23:59:59Z,4361.0,0,725.0,0,450.0,386.0,349.0,0,27.0,6708.0
2017-09-29T23:59:59Z,4367.0,0,724.0,0,460.0,389.0,345.0,0,29.0,6674.0
2017-09-30T23:59:59Z,4341.0,0,720.0,0,454.0,390.0,344.0,0,30.0,6605.0
2017-10-01T23:59:59Z,4361.0,0,720.0,0,458.0,386.0,345.0,0,29.0,6661.0
2017-10-02T23:59:59Z,4378.0,0,710.0,0,459.0,394.0,340.0,0,29.0,6708.0
2017-10-03T23:59:59Z,4375.0,0,706.0,0,456.0,388.0,349.0,0,30.0,6724.0
2017-10-04T23:59:59Z,4377.0,0,713.0,0,457.0,376.0,349.0,0,30.0,6717.0
2017-10-05T23:59:59Z,4361.0,0,706.0,0,461.0,375.0,349.0,0,30.0,6684.0
2017-10-06T23:59:59Z,4381.0,0,705.0,0,452.0,372.0,350.0,0,31.0,6695.0
2017-10-07T23:59:59Z,4377.0,0,708.0,0,452.0,369.0,345.0,0,32.0,6658.0
2017-10-08T23:59:59Z,4362.0,0,711.0,0,446.0,358.0,342.0,0,32.0,6671.0
2017-10-09T23:59:59Z,4396.0,0,700.0,0,444.0,360.0,343.0,0,22.0,6752.0
2017-10-10T23:59:59Z,4380.0,0,711.0,0,441.0,362.0,346.0,0,11.0,6761.0
2017-10-11T23:59:59Z,4386.0,0,720.0,0,441.0,361.0,350.0,0,29.0,6734.0
2017-10-12T23:59:59Z,4378.0,0,717.0,0,447.0,363.0,356.0,0,31.0,6744.0
2017-10-13T23:59:59Z,4417.0,0,712.0,0,445.0,362.0,357.0,0,31.0,6699.0
2017-10-14T23:59:59Z,4398.0,0,697.0,0,448.0,362.0,357.0,0,33.0,6694.0
2017-10-15T23:59:59Z,4382.0,0,708.0,0,444.0,360.0,357.0,0,31.0,6690.0
2017-10-16T23:59:59Z,4397.0,0,710.0,0,447.0,364.0,358.0,0,32.0,6736.0
2017-10-17T23:59:59Z,4400.0,0,704.0,0,444.0,356.0,359.0,0,32.0,6723.0
2017-10-18T23:59:59Z,4415.0,0,699.0,0,446.0,360.0,356.0,0,31.0,6695.0
2017-10-19T23:59:59Z,4374.0,0,701.0,0,446.0,364.0,347.0,0,31.0,6724.0
2017-10-20T23:59:59Z,4364.0,0,697.0,0,451.0,365.0,347.0,0,32.0,6709.0
2017-10-21T23:59:59Z,4392.0,0,685.0,0,452.0,361.0,352.0,0,32.0,6685.0
2017-10-22T23:59:59Z,4362.0,0,696.0,0,452.0,358.0,355.0,0,32.0,6692.0
2017-10-23T23:59:59Z,4401.0,0,701.0,0,449.0,358.0,350.0,0,32.0,6687.0
2017-10-24T23:59:59Z,4396.0,0,695.0,0,446.0,352.0,353.0,0,32.0,6715.0
