datetime,AS61157,AS45028,AS36692,AS16509,AS17974,AS4134,AS17971,AS19905,AS36029,Remaining
2017-04-20T23:59:59Z,0,0,0,0,0,0,0,0,0,0
2017-04-21T23:59:59Z,104.0,7.0,3.0,4.0,0,2.0,8.0,7.0,0,3.0
2017-04-22T23:59:59Z,105.0,8.0,3.0,4.0,0,2.0,6.0,7.0,1.0,5.0
2017-04-23T23:59:59Z,107.0,8.0,3.0,4.0,1.0,2.0,5.0,8.0,0,4.0
2017-04-24T23:59:59Z,111.0,6.0,3.0,4.0,1.0,2.0,4.0,7.0,0,6.0
2017-04-25T23:59:59Z,112.0,6.0,3.0,4.0,0,2.0,4.0,6.0,1.0,5.0
2017-04-26T23:59:59Z,109.0,5.0,3.0,4.0,0,2.0,4.0,7.0,0,7.0
2017-04-27T23:59:59Z,112.0,6.0,3.0,4.0,0,1.0,6.0,6.0,0,3.0
2017-04-28T23:59:59Z,112.0,7.0,3.0,4.0,0,1.0,6.0,8.0,0,2.0
2017-04-29T23:59:59Z,109.0,6.0,3.0,4.0,0,1.0,4.0,7.0,1.0,4.0
2017-04-30T23:59:59Z,110.0,6.0,3.0,1.0,0,1.0,3.0,11.0,0,3.0
2017-05-01T23:59:59Z,110.0,7.0,3.0,1.0,0,1.0,5.0,12.0,0,5.0
2017-05-02T23:59:59Z,110.0,7.0,3.0,1.0,0,1.0,5.0,13.0,0,3.0
2017-05-03T23:59:59Z,111.0,6.0,3.0,1.0,0,1.0,6.0,11.0,0,2.0
2017-05-04T23:59:59Z,108.0,6.0,3.0,1.0,0,1.0,6.0,11.0,1.0,4.0
2017-05-05T23:59:59Z,109.0,7.0,3.0,1.0,1.0,1.0,6.0,11.0,0,4.0
2017-05-06T23:59:59Z,105.0,6.0,3.0,1.0,1.0,1.0,5.0,12.0,0,2.0
2017-05-07T23:59:59Z,109.0,6.0,3.0,1.0,1.0,2.0,6.0,13.0,0,4.0
2017-05-08T23:59:59Z,106.0,6.0,3.0,1.0,2.0,2.0,7.0,13.0,1.0,3.0
