datetime,AS7922,AS3320,AS12322,AS6830,AS3265,AS31334,AS3215,AS8881,AS7018,Remaining
2017-04-20T23:59:59Z,585.0,418.0,269.0,280.0,145.0,109.0,101.0,84.0,77.0,9079.0
2017-04-21T23:59:59Z,587.0,428.0,274.0,284.0,147.0,111.0,101.0,87.0,76.0,9221.0
2017-04-22T23:59:59Z,594.0,430.0,272.0,284.0,149.0,111.0,99.0,87.0,74.0,9242.0
2017-04-23T23:59:59Z,590.0,432.0,273.0,285.0,149.0,116.0,101.0,89.0,71.0,9267.0
2017-04-24T23:59:59Z,592.0,435.0,281.0,284.0,149.0,120.0,101.0,89.0,73.0,9346.0
2017-04-25T23:59:59Z,590.0,439.0,283.0,290.0,151.0,121.0,100.0,90.0,74.0,9390.0
2017-04-26T23:59:59Z,585.0,435.0,275.0,293.0,152.0,122.0,98.0,92.0,74.0,9413.0
2017-04-27T23:59:59Z,596.0,434.0,282.0,290.0,152.0,121.0,99.0,91.0,74.0,9411.0
2017-04-28T23:59:59Z,592.0,437.0,280.0,290.0,150.0,121.0,101.0,90.0,71.0,9441.0
2017-04-29T23:59:59Z,595.0,443.0,287.0,283.0,149.0,121.0,104.0,89.0,76.0,9436.0
2017-04-30T23:59:59Z,597.0,438.0,293.0,283.0,150.0,120.0,104.0,89.0,76.0,9419.0
2017-05-01T23:59:59Z,593.0,443.0,294.0,286.0,147.0,121.0,106.0,91.0,75.0,9440.0
2017-05-02T23:59:59Z,596.0,435.0,291.0,287.0,151.0,119.0,106.0,91.0,75.0,9468.0
2017-05-03T23:59:59Z,587.0,437.0,293.0,291.0,154.0,124.0,106.0,91.0,75.0,9516.0
2017-05-04T23:59:59Z,593.0,437.0,293.0,298.0,151.0,123.0,107.0,93.0,75.0,9512.0
2017-05-05T23:59:59Z,592.0,432.0,294.0,292.0,155.0,122.0,106.0,92.0,73.0,9523.0
