datetime,AS15169,AS13335,AS7922,AS3320,AS19281,AS36692,AS396566,AS12322,AS6830,Remaining
2017-04-20T23:59:59Z,2725.0,0,516.0,369.0,0,364.0,238.0,244.0,203.0,6488.0
2017-04-21T23:59:59Z,2754.0,0,519.0,382.0,0,370.0,238.0,245.0,205.0,6603.0
2017-04-22T23:59:59Z,2751.0,0,525.0,383.0,0,379.0,237.0,245.0,204.0,6618.0
2017-04-23T23:59:59Z,2765.0,0,521.0,385.0,0,374.0,237.0,249.0,208.0,6634.0
2017-04-24T23:59:59Z,2778.0,0,523.0,386.0,0,373.0,238.0,256.0,206.0,6710.0
2017-04-25T23:59:59Z,2790.0,0,523.0,391.0,0,375.0,239.0,257.0,210.0,6743.0
2017-04-26T23:59:59Z,2794.0,0,521.0,389.0,0,373.0,239.0,248.0,215.0,6760.0
2017-04-27T23:59:59Z,2793.0,0,532.0,388.0,0,369.0,240.0,253.0,215.0,6760.0
2017-04-28T23:59:59Z,2805.0,0,528.0,390.0,0,368.0,240.0,254.0,211.0,6777.0
2017-04-29T23:59:59Z,2798.0,0,531.0,394.0,0,364.0,240.0,261.0,207.0,6788.0
2017-04-30T23:59:59Z,2786.0,0,532.0,392.0,0,362.0,240.0,263.0,209.0,6785.0
2017-05-01T23:59:59Z,2779.0,0,528.0,393.0,0,363.0,240.0,264.0,212.0,6817.0
2017-05-02T23:59:59Z,2799.0,0,529.0,387.0,0,365.0,241.0,264.0,212.0,6822.0
2017-05-03T23:59:59Z,2806.0,0,522.0,392.0,0,369.0,241.0,268.0,215.0,6861.0
2017-05-04T23:59:59Z,2805.0,0,526.0,391.0,0,371.0,242.0,267.0,217.0,6863.0
2017-05-05T23:59:59Z,2820.0,0,521.0,386.0,0,368.0,243.0,267.0,213.0,6863.0
2017-05-06T23:59:59Z,2816.0,0,524.0,386.0,0,369.0,243.0,267.0,217.0,6855.0
2017-05-07T23:59:59Z,2804.0,0,523.0,385.0,0,368.0,243.0,270.0,217.0,6856.0
2017-05-08T23:59:59Z,2832.0,0,523.0,386.0,0,372.0,244.0,266.0,217.0,6884.0
2017-05-09T23:59:59Z,2821.0,0,520.0,384.0,0,375.0,245.0,264.0,216.0,6896.0
2017-05-10T23:59:59Z,2830.0,0,516.0,384.0,0,378.0,246.0,262.0,214.0,6884.0
2017-05-11T23:59:59Z,2842.0,0,511.0,388.0,0,375.0,248.0,260.0,214.0,6910.0
2017-05-12T23:59:59Z,2822.0,0,512.0,390.0,0,372.0,250.0,260.0,213.0,6909.0
2017-05-13T23:59:59Z,2825.0,0,507.0,390.0,0,368.0,250.0,258.0,214.0,6876.0
2017-05-14T23:59:59Z,2818.0,0,508.0,387.0,0,362.0,250.0,265.0,217.0,6875.0
2017-05-15T23:59:59Z,2837.0,0,503.0,390.0,0,369.0,250.0,266.0,211.0,6956.0
2017-05-16T23:59:59Z,2837.0,0,507.0,388.0,0,372.0,250.0,267.0,211.0,6976.0
2017-05-17T23:59:59Z,2833.0,0,506.0,385.0,0,371.0,251.0,267.0,211.0,7019.0
2017-05-18T23:59:59Z,2839.0,0,509.0,388.0,0,373.0,251.0,270.0,210.0,7021.0
2017-05-19T23:59:59Z,2839.0,0,510.0,393.0,0,373.0,251.0,271.0,208.0,7039.0
2017-05-20T23:59:59Z,2838.0,0,507.0,396.0,0,370.0,251.0,275.0,206.0,7014.0
2017-05-21T23:59:59Z,2836.0,0,509.0,397.0,0,368.0,251.0,276.0,206.0,6985.0
2017-05-22T23:59:59Z,2850.0,0,506.0,401.0,0,370.0,251.0,285.0,208.0,7034.0
2017-05-23T23:59:59Z,2841.0,0,510.0,397.0,0,370.0,251.0,283.0,212.0,7056.0
