datetime,AS15169,AS6830,AS7922,AS36692,AS2860,AS3215,AS13335,AS12322,AS3320,Remaining
2017-06-20T23:59:59Z,3985.0,453.0,448.0,671.0,11.0,189.0,0,334.0,364.0,10300.0
2017-06-21T23:59:59Z,4002.0,459.0,461.0,675.0,12.0,191.0,0,332.0,376.0,10393.0
2017-06-22T23:59:59Z,3981.0,452.0,461.0,682.0,11.0,195.0,0,335.0,373.0,10411.0
2017-06-23T23:59:59Z,4005.0,448.0,460.0,678.0,11.0,193.0,0,331.0,386.0,10385.0
2017-06-24T23:59:59Z,3974.0,436.0,460.0,671.0,11.0,199.0,0,323.0,385.0,10374.0
2017-06-25T23:59:59Z,4014.0,451.0,460.0,661.0,11.0,192.0,0,329.0,385.0,10343.0
2017-06-26T23:59:59Z,4055.0,451.0,460.0,688.0,12.0,195.0,0,337.0,380.0,10515.0
2017-06-27T23:59:59Z,4031.0,455.0,461.0,682.0,12.0,196.0,0,333.0,376.0,10495.0
2017-06-28T23:59:59Z,4042.0,455.0,461.0,672.0,10.0,197.0,0,334.0,374.0,10487.0
2017-06-29T23:59:59Z,4055.0,452.0,459.0,679.0,12.0,195.0,0,333.0,375.0,10459.0
2017-06-30T23:59:59Z,4066.0,445.0,462.0,684.0,14.0,197.0,0,333.0,379.0,10444.0
2017-07-01T23:59:59Z,4068.0,438.0,465.0,688.0,13.0,195.0,0,329.0,370.0,10375.0
2017-07-02T23:59:59Z,4057.0,445.0,469.0,704.0,13.0,196.0,0,334.0,372.0,10342.0
2017-07-03T23:59:59Z,4092.0,452.0,461.0,697.0,14.0,193.0,0,343.0,382.0,10450.0
2017-07-04T23:59:59Z,4105.0,454.0,470.0,687.0,14.0,196.0,0,348.0,379.0,10478.0
2017-07-05T23:59:59Z,4107.0,457.0,471.0,699.0,14.0,201.0,0,349.0,379.0,10462.0
2017-07-06T23:59:59Z,4086.0,450.0,471.0,699.0,14.0,205.0,0,349.0,383.0,10447.0
2017-07-07T23:59:59Z,4054.0,461.0,469.0,693.0,14.0,203.0,0,346.0,384.0,10466.0
2017-07-08T23:59:59Z,4026.0,457.0,473.0,694.0,14.0,204.0,0,347.0,386.0,10421.0
2017-07-09T23:59:59Z,4070.0,467.0,479.0,679.0,14.0,199.0,0,358.0,384.0,10363.0
2017-07-10T23:59:59Z,4072.0,466.0,480.0,704.0,14.0,202.0,0,355.0,386.0,10550.0
2017-07-11T23:59:59Z,4113.0,464.0,476.0,692.0,14.0,198.0,0,356.0,389.0,10533.0
2017-07-12T23:59:59Z,4097.0,463.0,473.0,705.0,14.0,199.0,0,352.0,391.0,10470.0
2017-07-13T23:59:59Z,4073.0,465.0,473.0,708.0,14.0,194.0,0,355.0,392.0,10494.0
2017-07-14T23:59:59Z,4095.0,454.0,475.0,689.0,14.0,198.0,0,363.0,392.0,10457.0
2017-07-15T23:59:59Z,4058.0,467.0,470.0,695.0,14.0,197.0,0,361.0,390.0,10415.0
2017-07-16T23:59:59Z,4044.0,463.0,470.0,693.0,14.0,198.0,0,363.0,393.0,10393.0
2017-07-17T23:59:59Z,4123.0,474.0,468.0,701.0,14.0,206.0,0,362.0,395.0,10490.0
2017-07-18T23:59:59Z,4112.0,476.0,467.0,707.0,13.0,204.0,0,364.0,394.0,10484.0
2017-07-19T23:59:59Z,4112.0,470.0,468.0,698.0,13.0,203.0,0,362.0,392.0,10488.0
2017-07-20T23:59:59Z,4091.0,471.0,466.0,704.0,13.0,204.0,0,362.0,392.0,10495.0
2017-07-21T23:59:59Z,4091.0,468.0,467.0,702.0,13.0,203.0,0,364.0,388.0,10473.0
2017-07-22T23:59:59Z,4074.0,457.0,465.0,696.0,13.0,197.0,0,359.0,385.0,10439.0
2017-07-23T23:59:59Z,4080.0,462.0,465.0,692.0,13.0,199.0,0,361.0,390.0,10473.0
2017-07-24T23:59:59Z,4115.0,473.0,467.0,687.0,13.0,198.0,0,367.0,391.0,10570.0
2017-07-25T23:59:59Z,4105.0,463.0,466.0,687.0,13.0,199.0,0,369.0,394.0,10596.0
2017-07-26T23:59:59Z,4120.0,460.0,465.0,686.0,13.0,196.0,0,372.0,399.0,10588.0
2017-07-27T23:59:59Z,4119.0,461.0,459.0,688.0,13.0,200.0,0,366.0,395.0,10567.0
2017-07-28T23:59:59Z,4111.0,464.0,465.0,685.0,13.0,202.0,0,357.0,397.0,10560.0
2017-07-29T23:59:59Z,4118.0,458.0,459.0,693.0,12.0,204.0,0,358.0,396.0,10502.0
2017-07-30T23:59:59Z,4091.0,471.0,461.0,681.0,12.0,203.0,0,349.0,397.0,10536.0
2017-07-31T23:59:59Z,4126.0,471.0,458.0,680.0,12.0,200.0,0,352.0,392.0,10559.0
2017-08-01T23:59:59Z,4151.0,465.0,458.0,685.0,12.0,200.0,0,352.0,394.0,10521.0
2017-08-02T23:59:59Z,4131.0,468.0,453.0,688.0,12.0,202.0,0,349.0,390.0,10547.0
2017-08-03T23:59:59Z,4130.0,470.0,457.0,682.0,12.0,198.0,0,344.0,394.0,10549.0
2017-08-04T23:59:59Z,4128.0,469.0,462.0,692.0,12.0,198.0,0,347.0,396.0,10539.0
2017-08-05T23:59:59Z,4093.0,470.0,458.0,685.0,12.0,195.0,0,350.0,393.0,10534.0
2017-08-06T23:59:59Z,4112.0,471.0,458.0,686.0,12.0,199.0,0,350.0,402.0,10539.0
2017-08-07T23:59:59Z,4119.0,475.0,456.0,682.0,12.0,200.0,0,355.0,398.0,10545.0
2017-08-08T23:59:59Z,4141.0,474.0,456.0,678.0,12.0,200.0,0,352.0,401.0,10517.0
2017-08-09T23:59:59Z,4113.0,473.0,455.0,689.0,11.0,198.0,0,351.0,396.0,10528.0
2017-08-10T23:59:59Z,4134.0,477.0,449.0,678.0,11.0,196.0,0,356.0,395.0,10516.0
2017-08-11T23:59:59Z,4120.0,469.0,451.0,695.0,11.0,198.0,0,347.0,401.0,10521.0
2017-08-12T23:59:59Z,4137.0,469.0,450.0,670.0,11.0,197.0,0,344.0,399.0,10475.0
2017-08-13T23:59:59Z,4105.0,472.0,461.0,675.0,11.0,197.0,0,349.0,402.0,10455.0
2017-08-14T23:59:59Z,4172.0,476.0,461.0,683.0,0,199.0,0,355.0,408.0,10714.0
2017-08-15T23:59:59Z,4171.0,467.0,471.0,688.0,0,195.0,0,349.0,412.0,10641.0
2017-08-16T23:59:59Z,4173.0,466.0,467.0,694.0,11.0,196.0,0,346.0,410.0,10632.0
2017-08-17T23:59:59Z,4150.0,471.0,468.0,698.0,11.0,197.0,0,352.0,405.0,10631.0
2017-08-18T23:59:59Z,4182.0,466.0,476.0,694.0,11.0,195.0,0,356.0,410.0,10636.0
2017-08-19T23:59:59Z,4154.0,461.0,465.0,684.0,11.0,197.0,0,358.0,404.0,10592.0
2017-08-20T23:59:59Z,4145.0,466.0,470.0,688.0,11.0,196.0,0,357.0,402.0,10625.0
2017-08-21T23:59:59Z,4164.0,462.0,472.0,690.0,11.0,202.0,0,363.0,409.0,10703.0
2017-08-22T23:59:59Z,4138.0,466.0,472.0,709.0,11.0,202.0,0,365.0,404.0,10686.0
