datetime,AS45028,AS61157,AS17974,AS16509,AS3269,AS26008,AS9050,AS8075,AS4134,Remaining
2017-06-20T23:59:59Z,72.0,121.0,6.0,5.0,20.0,30.0,2.0,0,8.0,33.0
2017-06-21T23:59:59Z,73.0,125.0,6.0,5.0,16.0,31.0,2.0,0,8.0,33.0
2017-06-22T23:59:59Z,74.0,125.0,6.0,6.0,18.0,32.0,2.0,0,8.0,34.0
2017-06-23T23:59:59Z,73.0,127.0,6.0,5.0,19.0,32.0,2.0,0,8.0,33.0
2017-06-24T23:59:59Z,73.0,124.0,6.0,6.0,20.0,32.0,2.0,0,8.0,33.0
2017-06-25T23:59:59Z,72.0,127.0,6.0,5.0,20.0,32.0,2.0,0,8.0,34.0
2017-06-26T23:59:59Z,78.0,125.0,6.0,6.0,18.0,31.0,2.0,0,8.0,29.0
2017-06-27T23:59:59Z,74.0,124.0,6.0,6.0,20.0,32.0,2.0,0,8.0,28.0
2017-06-28T23:59:59Z,71.0,124.0,6.0,6.0,20.0,33.0,2.0,0,5.0,27.0
2017-06-29T23:59:59Z,74.0,124.0,6.0,5.0,18.0,33.0,2.0,0,9.0,26.0
2017-06-30T23:59:59Z,75.0,119.0,6.0,6.0,22.0,33.0,2.0,0,12.0,25.0
2017-07-01T23:59:59Z,75.0,117.0,6.0,6.0,20.0,33.0,2.0,0,11.0,24.0
2017-07-02T23:59:59Z,75.0,119.0,6.0,6.0,20.0,33.0,2.0,0,12.0,29.0
2017-07-03T23:59:59Z,77.0,127.0,6.0,6.0,21.0,35.0,2.0,0,12.0,30.0
2017-07-04T23:59:59Z,75.0,122.0,6.0,6.0,21.0,35.0,2.0,0,12.0,27.0
2017-07-05T23:59:59Z,75.0,126.0,6.0,5.0,20.0,36.0,2.0,0,12.0,28.0
2017-07-06T23:59:59Z,76.0,125.0,6.0,5.0,19.0,36.0,2.0,0,11.0,31.0
2017-07-07T23:59:59Z,78.0,120.0,6.0,5.0,18.0,35.0,2.0,0,12.0,27.0
2017-07-08T23:59:59Z,81.0,125.0,6.0,5.0,17.0,35.0,2.0,0,12.0,28.0
2017-07-09T23:59:59Z,74.0,123.0,6.0,5.0,17.0,35.0,2.0,0,11.0,26.0
2017-07-10T23:59:59Z,74.0,124.0,6.0,5.0,18.0,34.0,2.0,0,8.0,27.0
2017-07-11T23:59:59Z,75.0,121.0,6.0,6.0,16.0,33.0,2.0,0,8.0,24.0
2017-07-12T23:59:59Z,73.0,121.0,8.0,6.0,16.0,31.0,2.0,0,9.0,26.0
2017-07-13T23:59:59Z,72.0,126.0,8.0,4.0,13.0,32.0,2.0,0,10.0,27.0
2017-07-14T23:59:59Z,73.0,127.0,5.0,7.0,13.0,31.0,2.0,0,10.0,25.0
2017-07-15T23:59:59Z,72.0,128.0,5.0,6.0,13.0,33.0,2.0,0,11.0,27.0
2017-07-16T23:59:59Z,69.0,127.0,6.0,6.0,14.0,33.0,2.0,0,8.0,29.0
2017-07-17T23:59:59Z,71.0,128.0,4.0,7.0,14.0,32.0,2.0,0,8.0,29.0
2017-07-18T23:59:59Z,71.0,131.0,5.0,6.0,18.0,32.0,2.0,0,12.0,31.0
2017-07-19T23:59:59Z,71.0,131.0,5.0,5.0,19.0,32.0,2.0,0,14.0,34.0
2017-07-20T23:59:59Z,72.0,128.0,4.0,5.0,20.0,29.0,2.0,0,14.0,32.0
2017-07-21T23:59:59Z,68.0,131.0,5.0,5.0,19.0,27.0,2.0,0,12.0,29.0
2017-07-22T23:59:59Z,68.0,127.0,5.0,5.0,19.0,27.0,2.0,0,9.0,30.0
2017-07-23T23:59:59Z,71.0,128.0,5.0,5.0,17.0,28.0,2.0,0,9.0,31.0
2017-07-24T23:59:59Z,77.0,127.0,5.0,5.0,14.0,31.0,2.0,0,9.0,29.0
2017-07-25T23:59:59Z,72.0,131.0,5.0,6.0,16.0,31.0,2.0,0,9.0,28.0
2017-07-26T23:59:59Z,70.0,129.0,4.0,6.0,17.0,31.0,2.0,0,8.0,25.0
2017-07-27T23:59:59Z,72.0,129.0,5.0,6.0,20.0,31.0,2.0,0,8.0,25.0
2017-07-28T23:59:59Z,68.0,126.0,5.0,6.0,15.0,30.0,2.0,0,12.0,25.0
2017-07-29T23:59:59Z,69.0,127.0,6.0,6.0,15.0,30.0,2.0,0,12.0,28.0
2017-07-30T23:59:59Z,68.0,129.0,5.0,6.0,12.0,28.0,2.0,0,11.0,30.0
2017-07-31T23:59:59Z,69.0,126.0,6.0,6.0,12.0,29.0,2.0,0,12.0,26.0
2017-08-01T23:59:59Z,66.0,123.0,6.0,6.0,12.0,29.0,2.0,0,8.0,29.0
2017-08-02T23:59:59Z,67.0,124.0,5.0,6.0,15.0,28.0,2.0,0,12.0,25.0
2017-08-03T23:59:59Z,66.0,124.0,5.0,6.0,15.0,29.0,2.0,0,12.0,28.0
2017-08-04T23:59:59Z,65.0,123.0,7.0,6.0,14.0,29.0,2.0,0,11.0,26.0
2017-08-05T23:59:59Z,66.0,123.0,7.0,6.0,15.0,27.0,2.0,0,8.0,26.0
2017-08-06T23:59:59Z,67.0,123.0,6.0,6.0,15.0,27.0,2.0,0,8.0,24.0
2017-08-07T23:59:59Z,67.0,123.0,7.0,6.0,14.0,27.0,2.0,0,11.0,26.0
2017-08-08T23:59:59Z,67.0,122.0,7.0,6.0,13.0,27.0,2.0,0,11.0,28.0
2017-08-09T23:59:59Z,67.0,119.0,7.0,6.0,14.0,26.0,2.0,0,11.0,25.0
2017-08-10T23:59:59Z,67.0,121.0,7.0,6.0,13.0,26.0,2.0,0,8.0,29.0
2017-08-11T23:59:59Z,65.0,125.0,6.0,7.0,13.0,25.0,2.0,0,11.0,26.0
2017-08-12T23:59:59Z,63.0,124.0,6.0,5.0,14.0,27.0,2.0,0,11.0,23.0
2017-08-13T23:59:59Z,64.0,125.0,7.0,6.0,13.0,27.0,2.0,0,8.0,24.0
2017-08-14T23:59:59Z,69.0,129.0,7.0,6.0,13.0,29.0,2.0,0,8.0,26.0
2017-08-15T23:59:59Z,66.0,131.0,7.0,5.0,14.0,30.0,2.0,1.0,7.0,30.0
2017-08-16T23:59:59Z,66.0,131.0,7.0,5.0,13.0,28.0,2.0,0,7.0,27.0
2017-08-17T23:59:59Z,67.0,130.0,7.0,6.0,13.0,29.0,2.0,0,10.0,31.0
2017-08-18T23:59:59Z,69.0,129.0,7.0,5.0,13.0,29.0,2.0,0,8.0,28.0
2017-08-19T23:59:59Z,66.0,129.0,7.0,5.0,13.0,29.0,2.0,0,7.0,31.0
2017-08-20T23:59:59Z,68.0,128.0,7.0,6.0,13.0,29.0,2.0,0,8.0,29.0
2017-08-21T23:59:59Z,67.0,130.0,7.0,5.0,12.0,29.0,2.0,0,13.0,26.0
2017-08-22T23:59:59Z,66.0,129.0,7.0,4.0,13.0,29.0,2.0,0,13.0,28.0
2017-08-23T23:59:59Z,68.0,127.0,7.0,5.0,13.0,30.0,2.0,0,13.0,24.0
2017-08-24T23:59:59Z,67.0,130.0,7.0,6.0,13.0,30.0,2.0,0,12.0,26.0
2017-08-25T23:59:59Z,65.0,130.0,6.0,6.0,13.0,29.0,2.0,0,13.0,25.0
2017-08-26T23:59:59Z,72.0,129.0,7.0,6.0,13.0,29.0,2.0,0,12.0,26.0
2017-08-27T23:59:59Z,69.0,128.0,6.0,7.0,12.0,29.0,2.0,0,9.0,28.0
2017-08-28T23:59:59Z,69.0,134.0,7.0,6.0,13.0,30.0,2.0,0,9.0,25.0
2017-08-29T23:59:59Z,67.0,134.0,7.0,6.0,13.0,29.0,2.0,0,9.0,21.0
2017-08-30T23:59:59Z,70.0,138.0,7.0,6.0,13.0,30.0,2.0,0,9.0,27.0
2017-08-31T23:59:59Z,68.0,138.0,7.0,6.0,14.0,30.0,2.0,0,9.0,25.0
2017-09-01T23:59:59Z,68.0,138.0,7.0,6.0,14.0,29.0,2.0,0,9.0,20.0
2017-09-02T23:59:59Z,68.0,135.0,7.0,5.0,12.0,30.0,2.0,0,12.0,22.0
2017-09-03T23:59:59Z,66.0,137.0,7.0,6.0,13.0,29.0,2.0,0,7.0,21.0
2017-09-04T23:59:59Z,67.0,138.0,7.0,6.0,12.0,30.0,2.0,0,10.0,26.0
2017-09-05T23:59:59Z,71.0,144.0,7.0,5.0,14.0,29.0,2.0,0,9.0,29.0
2017-09-06T23:59:59Z,71.0,143.0,7.0,6.0,10.0,26.0,2.0,0,9.0,28.0
2017-09-07T23:59:59Z,75.0,136.0,7.0,6.0,11.0,27.0,2.0,0,9.0,29.0
2017-09-08T23:59:59Z,64.0,145.0,7.0,6.0,10.0,28.0,2.0,0,10.0,31.0
2017-09-09T23:59:59Z,64.0,145.0,6.0,6.0,11.0,28.0,2.0,0,10.0,33.0
2017-09-10T23:59:59Z,64.0,147.0,9.0,6.0,8.0,28.0,2.0,0,10.0,30.0
2017-09-11T23:59:59Z,64.0,142.0,10.0,6.0,12.0,26.0,2.0,0,10.0,34.0
2017-09-12T23:59:59Z,64.0,141.0,9.0,7.0,10.0,30.0,2.0,0,8.0,31.0
2017-09-13T23:59:59Z,64.0,138.0,7.0,6.0,9.0,29.0,2.0,0,8.0,30.0
2017-09-14T23:59:59Z,62.0,134.0,7.0,7.0,10.0,30.0,2.0,0,5.0,34.0
2017-09-15T23:59:59Z,56.0,137.0,7.0,5.0,8.0,28.0,2.0,0,5.0,29.0
2017-09-16T23:59:59Z,57.0,139.0,7.0,5.0,9.0,28.0,2.0,0,5.0,27.0
2017-09-17T23:59:59Z,56.0,132.0,7.0,6.0,10.0,29.0,2.0,0,5.0,30.0
2017-09-18T23:59:59Z,53.0,140.0,7.0,7.0,6.0,29.0,2.0,0,4.0,27.0
2017-09-19T23:59:59Z,54.0,143.0,7.0,7.0,6.0,29.0,2.0,0,7.0,31.0
2017-09-20T23:59:59Z,56.0,139.0,7.0,5.0,6.0,29.0,2.0,0,7.0,30.0
2017-09-21T23:59:59Z,55.0,144.0,7.0,5.0,8.0,31.0,2.0,0,6.0,26.0
2017-09-22T23:59:59Z,55.0,139.0,6.0,5.0,8.0,31.0,2.0,0,6.0,32.0
2017-09-23T23:59:59Z,56.0,141.0,6.0,5.0,7.0,32.0,2.0,0,6.0,32.0
2017-09-24T23:59:59Z,56.0,142.0,6.0,5.0,9.0,32.0,2.0,0,7.0,29.0
2017-09-25T23:59:59Z,57.0,143.0,7.0,5.0,7.0,31.0,2.0,0,7.0,30.0
2017-09-26T23:59:59Z,56.0,141.0,7.0,6.0,5.0,31.0,2.0,0,7.0,32.0
2017-09-27T23:59:59Z,53.0,142.0,8.0,5.0,6.0,38.0,2.0,0,7.0,37.0
2017-09-28T23:59:59Z,57.0,147.0,7.0,6.0,8.0,38.0,2.0,0,5.0,32.0
2017-09-29T23:59:59Z,56.0,148.0,8.0,5.0,6.0,38.0,2.0,0,7.0,28.0
2017-09-30T23:59:59Z,52.0,146.0,7.0,6.0,6.0,38.0,2.0,0,7.0,26.0
2017-10-01T23:59:59Z,51.0,143.0,4.0,5.0,5.0,36.0,2.0,0,7.0,26.0
2017-10-02T23:59:59Z,53.0,145.0,4.0,6.0,6.0,37.0,2.0,0,7.0,33.0
2017-10-03T23:59:59Z,49.0,143.0,4.0,6.0,8.0,37.0,2.0,0,6.0,32.0
2017-10-04T23:59:59Z,52.0,139.0,5.0,7.0,7.0,37.0,2.0,0,7.0,32.0
2017-10-05T23:59:59Z,49.0,145.0,8.0,7.0,7.0,36.0,2.0,0,7.0,33.0
