datetime,AS7922,AS6830,AS3215,AS12322,AS3320,AS31334,AS8881,AS33915,AS7018,Remaining
2017-06-20T23:59:59Z,579.0,470.0,260.0,374.0,476.0,136.0,99.0,123.0,84.0,14154.0
2017-06-21T23:59:59Z,583.0,479.0,265.0,374.0,481.0,141.0,99.0,127.0,86.0,14266.0
2017-06-22T23:59:59Z,583.0,472.0,266.0,375.0,482.0,139.0,99.0,127.0,87.0,14271.0
2017-06-23T23:59:59Z,586.0,472.0,268.0,368.0,482.0,136.0,102.0,125.0,89.0,14269.0
2017-06-24T23:59:59Z,587.0,466.0,270.0,363.0,480.0,137.0,102.0,124.0,87.0,14217.0
2017-06-25T23:59:59Z,592.0,467.0,268.0,368.0,484.0,135.0,102.0,123.0,88.0,14219.0
2017-06-26T23:59:59Z,591.0,475.0,266.0,381.0,485.0,139.0,103.0,124.0,89.0,14440.0
2017-06-27T23:59:59Z,588.0,473.0,266.0,373.0,483.0,139.0,102.0,125.0,86.0,14406.0
2017-06-28T23:59:59Z,586.0,473.0,270.0,377.0,483.0,139.0,102.0,127.0,88.0,14387.0
2017-06-29T23:59:59Z,587.0,476.0,266.0,376.0,478.0,142.0,104.0,126.0,89.0,14375.0
2017-06-30T23:59:59Z,586.0,469.0,267.0,373.0,488.0,141.0,102.0,127.0,87.0,14384.0
2017-07-01T23:59:59Z,588.0,468.0,263.0,369.0,484.0,141.0,100.0,128.0,88.0,14312.0
2017-07-02T23:59:59Z,588.0,472.0,266.0,375.0,484.0,143.0,100.0,127.0,86.0,14291.0
2017-07-03T23:59:59Z,585.0,472.0,270.0,382.0,492.0,142.0,100.0,127.0,83.0,14431.0
2017-07-04T23:59:59Z,597.0,476.0,274.0,386.0,488.0,138.0,100.0,125.0,85.0,14462.0
2017-07-05T23:59:59Z,601.0,475.0,278.0,386.0,491.0,136.0,98.0,126.0,83.0,14465.0
2017-07-06T23:59:59Z,597.0,471.0,281.0,386.0,495.0,136.0,99.0,122.0,82.0,14435.0
