datetime,AS15169,AS7922,AS6830,AS3215,AS3320,AS12322,AS2860,AS36692,AS396566,Remaining
2017-06-20T23:59:59Z,2821.0,495.0,477.0,205.0,427.0,345.0,11.0,356.0,252.0,11366.0
2017-06-21T23:59:59Z,2837.0,504.0,491.0,208.0,434.0,341.0,12.0,360.0,253.0,11461.0
2017-06-22T23:59:59Z,2825.0,506.0,485.0,207.0,434.0,344.0,0,361.0,253.0,11486.0
2017-06-23T23:59:59Z,2831.0,509.0,480.0,209.0,433.0,341.0,11.0,353.0,255.0,11475.0
2017-06-24T23:59:59Z,2826.0,509.0,475.0,210.0,432.0,335.0,11.0,354.0,252.0,11429.0
2017-06-25T23:59:59Z,2828.0,511.0,479.0,210.0,434.0,341.0,11.0,356.0,255.0,11421.0
2017-06-26T23:59:59Z,2866.0,510.0,488.0,211.0,435.0,349.0,12.0,358.0,257.0,11607.0
2017-06-27T23:59:59Z,2856.0,510.0,491.0,210.0,432.0,347.0,12.0,352.0,254.0,11577.0
2017-06-28T23:59:59Z,2870.0,510.0,489.0,212.0,431.0,349.0,0,353.0,256.0,11562.0
2017-06-29T23:59:59Z,2876.0,510.0,491.0,209.0,428.0,346.0,12.0,356.0,253.0,11538.0
2017-06-30T23:59:59Z,2879.0,514.0,486.0,210.0,439.0,346.0,14.0,364.0,258.0,11514.0
2017-07-01T23:59:59Z,2871.0,512.0,482.0,206.0,435.0,342.0,13.0,363.0,257.0,11460.0
2017-07-02T23:59:59Z,2867.0,516.0,486.0,208.0,435.0,348.0,13.0,363.0,256.0,11440.0
2017-07-03T23:59:59Z,2886.0,512.0,484.0,208.0,444.0,354.0,14.0,366.0,256.0,11560.0
2017-07-04T23:59:59Z,2899.0,518.0,491.0,208.0,439.0,360.0,14.0,364.0,256.0,11582.0
2017-07-05T23:59:59Z,2910.0,522.0,491.0,213.0,443.0,360.0,14.0,364.0,257.0,11565.0
2017-07-06T23:59:59Z,2889.0,523.0,485.0,217.0,449.0,361.0,14.0,361.0,257.0,11548.0
2017-07-07T23:59:59Z,2876.0,523.0,491.0,216.0,448.0,360.0,14.0,367.0,256.0,11539.0
2017-07-08T23:59:59Z,2863.0,525.0,489.0,217.0,453.0,359.0,14.0,363.0,259.0,11480.0
2017-07-09T23:59:59Z,2877.0,525.0,498.0,212.0,451.0,367.0,14.0,362.0,257.0,11450.0
2017-07-10T23:59:59Z,2896.0,536.0,497.0,216.0,456.0,367.0,14.0,366.0,257.0,11624.0
2017-07-11T23:59:59Z,2910.0,532.0,491.0,216.0,457.0,365.0,14.0,367.0,259.0,11624.0
2017-07-12T23:59:59Z,2902.0,531.0,488.0,213.0,454.0,361.0,14.0,374.0,260.0,11567.0
2017-07-13T23:59:59Z,2890.0,529.0,487.0,212.0,455.0,363.0,14.0,370.0,261.0,11587.0
2017-07-14T23:59:59Z,2888.0,529.0,479.0,212.0,455.0,374.0,14.0,368.0,260.0,11558.0
2017-07-15T23:59:59Z,2877.0,526.0,492.0,212.0,456.0,370.0,14.0,367.0,261.0,11492.0
2017-07-16T23:59:59Z,2877.0,527.0,489.0,214.0,452.0,373.0,14.0,367.0,260.0,11458.0
2017-07-17T23:59:59Z,2913.0,522.0,501.0,218.0,457.0,372.0,14.0,368.0,261.0,11607.0
2017-07-18T23:59:59Z,2913.0,521.0,505.0,219.0,462.0,372.0,13.0,369.0,259.0,11588.0
2017-07-19T23:59:59Z,2910.0,523.0,500.0,219.0,459.0,370.0,13.0,363.0,262.0,11587.0
2017-07-20T23:59:59Z,2897.0,519.0,507.0,219.0,459.0,371.0,13.0,367.0,261.0,11585.0
2017-07-21T23:59:59Z,2892.0,520.0,505.0,218.0,456.0,372.0,13.0,368.0,262.0,11563.0
2017-07-22T23:59:59Z,2883.0,516.0,496.0,214.0,451.0,364.0,13.0,369.0,259.0,11520.0
2017-07-23T23:59:59Z,2891.0,516.0,501.0,212.0,450.0,371.0,13.0,367.0,261.0,11553.0
2017-07-24T23:59:59Z,2915.0,519.0,510.0,214.0,455.0,377.0,13.0,367.0,261.0,11650.0
2017-07-25T23:59:59Z,2910.0,520.0,501.0,216.0,455.0,378.0,13.0,368.0,261.0,11670.0
2017-07-26T23:59:59Z,2909.0,518.0,498.0,215.0,455.0,381.0,13.0,369.0,261.0,11680.0
2017-07-27T23:59:59Z,2913.0,511.0,496.0,218.0,457.0,374.0,13.0,372.0,262.0,11652.0
2017-07-28T23:59:59Z,2907.0,515.0,499.0,219.0,456.0,367.0,13.0,371.0,262.0,11645.0
2017-07-29T23:59:59Z,2910.0,513.0,495.0,219.0,458.0,370.0,12.0,368.0,262.0,11593.0
2017-07-30T23:59:59Z,2901.0,513.0,499.0,217.0,455.0,363.0,12.0,368.0,263.0,11610.0
2017-07-31T23:59:59Z,2909.0,511.0,501.0,218.0,452.0,362.0,12.0,366.0,260.0,11659.0
2017-08-01T23:59:59Z,2916.0,508.0,500.0,216.0,457.0,363.0,12.0,364.0,261.0,11641.0
2017-08-02T23:59:59Z,2915.0,503.0,501.0,220.0,451.0,366.0,12.0,366.0,262.0,11644.0
2017-08-03T23:59:59Z,2914.0,507.0,503.0,217.0,452.0,357.0,12.0,362.0,263.0,11649.0
2017-08-04T23:59:59Z,2921.0,508.0,505.0,215.0,454.0,357.0,12.0,370.0,262.0,11639.0
2017-08-05T23:59:59Z,2906.0,506.0,499.0,213.0,452.0,359.0,12.0,373.0,262.0,11608.0
2017-08-06T23:59:59Z,2924.0,505.0,500.0,213.0,458.0,362.0,13.0,366.0,261.0,11627.0
2017-08-07T23:59:59Z,2920.0,504.0,503.0,213.0,455.0,367.0,13.0,364.0,262.0,11641.0
2017-08-08T23:59:59Z,2921.0,504.0,505.0,213.0,454.0,364.0,13.0,363.0,263.0,11631.0
2017-08-09T23:59:59Z,2914.0,506.0,507.0,210.0,448.0,364.0,12.0,368.0,262.0,11623.0
2017-08-10T23:59:59Z,2925.0,499.0,513.0,212.0,442.0,366.0,12.0,367.0,264.0,11612.0
2017-08-11T23:59:59Z,2924.0,501.0,512.0,214.0,442.0,358.0,12.0,368.0,266.0,11616.0
2017-08-12T23:59:59Z,2912.0,499.0,507.0,214.0,448.0,355.0,12.0,370.0,263.0,11572.0
2017-08-13T23:59:59Z,2903.0,512.0,508.0,213.0,446.0,361.0,12.0,370.0,264.0,11538.0
2017-08-14T23:59:59Z,2952.0,513.0,511.0,215.0,463.0,366.0,12.0,369.0,267.0,11800.0
2017-08-15T23:59:59Z,2942.0,522.0,506.0,212.0,468.0,361.0,12.0,373.0,268.0,11730.0
2017-08-16T23:59:59Z,2946.0,517.0,502.0,213.0,462.0,357.0,12.0,373.0,269.0,11744.0
2017-08-17T23:59:59Z,2944.0,519.0,504.0,212.0,460.0,364.0,12.0,376.0,268.0,11724.0
2017-08-18T23:59:59Z,2947.0,525.0,504.0,212.0,462.0,369.0,12.0,378.0,272.0,11745.0
2017-08-19T23:59:59Z,2933.0,515.0,504.0,211.0,458.0,370.0,12.0,375.0,269.0,11679.0
2017-08-20T23:59:59Z,2927.0,520.0,504.0,211.0,456.0,371.0,12.0,371.0,268.0,11720.0
2017-08-21T23:59:59Z,2945.0,521.0,503.0,213.0,458.0,373.0,12.0,372.0,271.0,11808.0
2017-08-22T23:59:59Z,2947.0,521.0,504.0,213.0,458.0,375.0,12.0,375.0,272.0,11776.0
2017-08-23T23:59:59Z,2938.0,520.0,508.0,212.0,460.0,381.0,0,373.0,272.0,11825.0
2017-08-24T23:59:59Z,2933.0,525.0,505.0,213.0,460.0,377.0,12.0,370.0,274.0,11795.0
2017-08-25T23:59:59Z,2937.0,525.0,504.0,213.0,456.0,383.0,12.0,369.0,273.0,11792.0
2017-08-26T23:59:59Z,2938.0,520.0,507.0,213.0,452.0,386.0,12.0,377.0,274.0,11755.0
2017-08-27T23:59:59Z,2935.0,516.0,509.0,217.0,455.0,387.0,12.0,377.0,273.0,11715.0
2017-08-28T23:59:59Z,2962.0,516.0,511.0,218.0,460.0,390.0,12.0,375.0,276.0,11852.0
2017-08-29T23:59:59Z,2960.0,521.0,512.0,218.0,461.0,392.0,12.0,371.0,276.0,11862.0
2017-08-30T23:59:59Z,2957.0,522.0,518.0,216.0,471.0,390.0,12.0,370.0,276.0,11824.0
2017-08-31T23:59:59Z,2945.0,514.0,509.0,216.0,467.0,387.0,12.0,369.0,281.0,11727.0
2017-09-01T23:59:59Z,2931.0,517.0,510.0,211.0,468.0,387.0,13.0,370.0,281.0,11614.0
2017-09-02T23:59:59Z,2903.0,510.0,509.0,210.0,467.0,389.0,14.0,371.0,280.0,11559.0
2017-09-03T23:59:59Z,2898.0,512.0,509.0,210.0,465.0,383.0,14.0,368.0,279.0,11558.0
2017-09-04T23:59:59Z,2929.0,516.0,506.0,212.0,469.0,382.0,14.0,374.0,280.0,11621.0
2017-09-05T23:59:59Z,2948.0,514.0,511.0,210.0,473.0,386.0,13.0,367.0,281.0,11689.0
2017-09-06T23:59:59Z,2891.0,510.0,489.0,208.0,464.0,379.0,14.0,366.0,281.0,11397.0
2017-09-07T23:59:59Z,2934.0,510.0,499.0,210.0,465.0,382.0,13.0,367.0,282.0,11456.0
2017-09-08T23:59:59Z,2963.0,513.0,508.0,208.0,466.0,377.0,15.0,375.0,281.0,11522.0
2017-09-09T23:59:59Z,2945.0,519.0,505.0,212.0,469.0,380.0,15.0,381.0,281.0,11541.0
2017-09-10T23:59:59Z,2945.0,515.0,510.0,211.0,474.0,375.0,15.0,377.0,278.0,11525.0
2017-09-11T23:59:59Z,3007.0,506.0,524.0,215.0,477.0,383.0,15.0,381.0,280.0,11884.0
2017-09-12T23:59:59Z,3021.0,506.0,516.0,216.0,478.0,383.0,15.0,378.0,411.0,11886.0
2017-09-13T23:59:59Z,3021.0,505.0,526.0,215.0,480.0,377.0,15.0,381.0,283.0,11849.0
2017-09-14T23:59:59Z,3011.0,510.0,518.0,216.0,475.0,375.0,16.0,384.0,284.0,11857.0
2017-09-15T23:59:59Z,3013.0,513.0,516.0,213.0,477.0,377.0,15.0,385.0,281.0,11848.0
2017-09-16T23:59:59Z,3012.0,517.0,518.0,213.0,470.0,385.0,16.0,383.0,281.0,11822.0
2017-09-17T23:59:59Z,3013.0,519.0,531.0,212.0,465.0,387.0,16.0,385.0,283.0,11823.0
2017-09-18T23:59:59Z,3045.0,517.0,526.0,219.0,465.0,388.0,16.0,386.0,280.0,11990.0
2017-09-19T23:59:59Z,3067.0,521.0,524.0,221.0,468.0,394.0,16.0,390.0,280.0,11997.0
