datetime,AS7922,AS3320,AS6830,AS12322,AS3215,AS3265,AS31334,AS33915,AS8881,Remaining
2017-04-20T23:59:59Z,666.0,474.0,517.0,383.0,334.0,168.0,124.0,122.0,91.0,14784.0
2017-04-21T23:59:59Z,666.0,484.0,522.0,388.0,336.0,171.0,126.0,123.0,94.0,14903.0
2017-04-22T23:59:59Z,667.0,488.0,524.0,383.0,335.0,173.0,127.0,122.0,94.0,14840.0
2017-04-23T23:59:59Z,664.0,490.0,529.0,381.0,337.0,173.0,133.0,120.0,97.0,14837.0
2017-04-24T23:59:59Z,665.0,492.0,529.0,387.0,340.0,173.0,136.0,123.0,97.0,14965.0
2017-04-25T23:59:59Z,663.0,500.0,537.0,388.0,338.0,175.0,138.0,122.0,98.0,15002.0
2017-04-26T23:59:59Z,659.0,493.0,540.0,384.0,341.0,176.0,138.0,124.0,99.0,15014.0
2017-04-27T23:59:59Z,658.0,493.0,537.0,392.0,339.0,178.0,136.0,125.0,98.0,14998.0
2017-04-28T23:59:59Z,652.0,494.0,540.0,390.0,341.0,176.0,136.0,127.0,97.0,15003.0
2017-04-29T23:59:59Z,650.0,500.0,533.0,396.0,340.0,175.0,136.0,123.0,96.0,14956.0
2017-04-30T23:59:59Z,651.0,495.0,529.0,405.0,342.0,177.0,135.0,122.0,96.0,14926.0
2017-05-01T23:59:59Z,647.0,501.0,534.0,406.0,344.0,173.0,139.0,125.0,98.0,14969.0
2017-05-02T23:59:59Z,651.0,493.0,530.0,405.0,347.0,177.0,138.0,124.0,98.0,15001.0
2017-05-03T23:59:59Z,642.0,494.0,535.0,406.0,349.0,180.0,142.0,125.0,98.0,15036.0
2017-05-04T23:59:59Z,650.0,493.0,549.0,405.0,348.0,177.0,141.0,124.0,100.0,15014.0
2017-05-05T23:59:59Z,648.0,487.0,545.0,407.0,344.0,181.0,139.0,124.0,101.0,15009.0
2017-05-06T23:59:59Z,648.0,488.0,550.0,405.0,346.0,181.0,140.0,124.0,101.0,14979.0
2017-05-07T23:59:59Z,643.0,489.0,543.0,406.0,349.0,179.0,140.0,125.0,100.0,14979.0
2017-05-08T23:59:59Z,641.0,493.0,540.0,405.0,350.0,183.0,141.0,124.0,97.0,15058.0
2017-05-09T23:59:59Z,641.0,489.0,535.0,403.0,350.0,180.0,144.0,125.0,95.0,15045.0
2017-05-10T23:59:59Z,643.0,490.0,534.0,398.0,345.0,175.0,139.0,124.0,96.0,15055.0
2017-05-11T23:59:59Z,643.0,494.0,536.0,400.0,342.0,176.0,142.0,123.0,97.0,15086.0
2017-05-12T23:59:59Z,638.0,498.0,530.0,397.0,345.0,170.0,142.0,127.0,96.0,15080.0
2017-05-13T23:59:59Z,631.0,497.0,530.0,396.0,346.0,173.0,142.0,130.0,101.0,15010.0
2017-05-14T23:59:59Z,629.0,494.0,529.0,401.0,345.0,175.0,143.0,127.0,99.0,14976.0
2017-05-15T23:59:59Z,624.0,497.0,534.0,404.0,357.0,176.0,143.0,125.0,99.0,15148.0
2017-05-16T23:59:59Z,626.0,495.0,534.0,407.0,355.0,173.0,143.0,123.0,97.0,15169.0
2017-05-17T23:59:59Z,631.0,490.0,531.0,398.0,354.0,175.0,145.0,122.0,96.0,15168.0
2017-05-18T23:59:59Z,630.0,493.0,528.0,402.0,357.0,174.0,146.0,128.0,95.0,15158.0
2017-05-19T23:59:59Z,629.0,501.0,529.0,405.0,351.0,175.0,143.0,125.0,94.0,15131.0
2017-05-20T23:59:59Z,630.0,505.0,532.0,408.0,347.0,175.0,143.0,124.0,92.0,15078.0
2017-05-21T23:59:59Z,631.0,503.0,531.0,411.0,342.0,173.0,141.0,121.0,92.0,15054.0
2017-05-22T23:59:59Z,627.0,512.0,536.0,413.0,340.0,177.0,145.0,122.0,94.0,15153.0
2017-05-23T23:59:59Z,623.0,506.0,534.0,406.0,341.0,175.0,144.0,121.0,94.0,15160.0
2017-05-24T23:59:59Z,627.0,498.0,526.0,403.0,341.0,176.0,140.0,120.0,99.0,15120.0
2017-05-25T23:59:59Z,630.0,490.0,526.0,395.0,335.0,178.0,139.0,122.0,97.0,15051.0
2017-05-26T23:59:59Z,640.0,489.0,517.0,398.0,326.0,179.0,136.0,123.0,97.0,15009.0
2017-05-27T23:59:59Z,633.0,490.0,511.0,395.0,328.0,179.0,138.0,123.0,97.0,14954.0
2017-05-28T23:59:59Z,637.0,491.0,516.0,399.0,331.0,178.0,139.0,124.0,96.0,14971.0
2017-05-29T23:59:59Z,637.0,499.0,519.0,396.0,327.0,177.0,144.0,125.0,96.0,15114.0
