datetime,AS15169,AS13335,AS36692,AS42,AS7922,AS6830,AS3320,AS12322,AS3215,Remaining
2017-04-20T23:59:59Z,3920.0,0,621.0,0,479.0,483.0,334.0,325.0,198.0,11303.0
2017-04-21T23:59:59Z,3945.0,0,637.0,0,482.0,483.0,345.0,323.0,196.0,11402.0
2017-04-22T23:59:59Z,3935.0,0,650.0,0,484.0,488.0,344.0,326.0,190.0,11336.0
2017-04-23T23:59:59Z,3938.0,0,637.0,0,482.0,497.0,344.0,325.0,194.0,11344.0
2017-04-24T23:59:59Z,3999.0,0,638.0,0,480.0,506.0,345.0,332.0,194.0,11413.0
2017-04-25T23:59:59Z,4016.0,0,638.0,0,482.0,513.0,344.0,330.0,197.0,11441.0
2017-04-26T23:59:59Z,4014.0,0,657.0,0,479.0,517.0,348.0,323.0,196.0,11434.0
2017-04-27T23:59:59Z,4011.0,0,646.0,0,487.0,518.0,345.0,326.0,199.0,11422.0
2017-04-28T23:59:59Z,4032.0,0,645.0,0,488.0,516.0,349.0,329.0,200.0,11397.0
2017-04-29T23:59:59Z,4016.0,0,645.0,0,490.0,510.0,350.0,337.0,195.0,11362.0
2017-04-30T23:59:59Z,3984.0,0,647.0,0,491.0,504.0,351.0,338.0,201.0,11362.0
2017-05-01T23:59:59Z,4005.0,0,647.0,0,483.0,516.0,360.0,338.0,197.0,11390.0
2017-05-02T23:59:59Z,4023.0,0,645.0,0,483.0,515.0,353.0,341.0,197.0,11407.0
2017-05-03T23:59:59Z,4030.0,0,668.0,0,476.0,516.0,361.0,345.0,201.0,11410.0
2017-05-04T23:59:59Z,4027.0,0,659.0,0,480.0,530.0,361.0,344.0,199.0,11401.0
2017-05-05T23:59:59Z,4048.0,0,657.0,0,477.0,533.0,349.0,346.0,193.0,11382.0
2017-05-06T23:59:59Z,4047.0,0,660.0,0,478.0,532.0,348.0,344.0,200.0,11353.0
2017-05-07T23:59:59Z,4030.0,0,665.0,0,477.0,528.0,348.0,348.0,201.0,11356.0
2017-05-08T23:59:59Z,4080.0,0,657.0,0,477.0,528.0,349.0,344.0,191.0,11406.0
2017-05-09T23:59:59Z,4058.0,0,661.0,0,476.0,519.0,348.0,343.0,197.0,11405.0
2017-05-10T23:59:59Z,4056.0,0,667.0,0,471.0,526.0,347.0,339.0,191.0,11402.0
2017-05-11T23:59:59Z,4102.0,0,670.0,0,471.0,529.0,348.0,337.0,187.0,11395.0
