datetime,AS15169,AS13335,AS7922,AS3320,AS6830,AS19281,AS3215,AS12322,AS36692,Remaining
2017-04-20T23:59:59Z,2846.0,0,591.0,420.0,510.0,0,264.0,350.0,370.0,12312.0
2017-04-21T23:59:59Z,2875.0,0,592.0,432.0,508.0,0,265.0,351.0,376.0,12414.0
2017-04-22T23:59:59Z,2870.0,0,591.0,435.0,510.0,0,264.0,351.0,385.0,12347.0
2017-04-23T23:59:59Z,2877.0,0,588.0,437.0,516.0,0,266.0,352.0,380.0,12345.0
2017-04-24T23:59:59Z,2896.0,0,589.0,437.0,520.0,0,269.0,358.0,379.0,12459.0
2017-04-25T23:59:59Z,2909.0,0,589.0,445.0,527.0,0,268.0,357.0,382.0,12484.0
2017-04-26T23:59:59Z,2912.0,0,588.0,441.0,537.0,0,273.0,350.0,381.0,12486.0
2017-04-27T23:59:59Z,2909.0,0,587.0,441.0,540.0,0,271.0,355.0,377.0,12474.0
2017-04-28T23:59:59Z,2924.0,0,579.0,442.0,537.0,0,271.0,357.0,376.0,12470.0
2017-04-29T23:59:59Z,2911.0,0,575.0,446.0,530.0,0,269.0,364.0,372.0,12438.0
2017-04-30T23:59:59Z,2893.0,0,575.0,444.0,529.0,0,271.0,366.0,370.0,12430.0
2017-05-01T23:59:59Z,2891.0,0,571.0,446.0,535.0,0,271.0,368.0,371.0,12483.0
2017-05-02T23:59:59Z,2911.0,0,573.0,440.0,532.0,0,272.0,369.0,373.0,12494.0
2017-05-03T23:59:59Z,2912.0,0,566.0,444.0,538.0,0,274.0,373.0,377.0,12523.0
2017-05-04T23:59:59Z,2912.0,0,572.0,441.0,545.0,0,274.0,373.0,378.0,12506.0
2017-05-05T23:59:59Z,2925.0,0,566.0,436.0,543.0,0,273.0,374.0,374.0,12494.0
2017-05-06T23:59:59Z,2915.0,0,568.0,437.0,546.0,0,274.0,371.0,375.0,12476.0
2017-05-07T23:59:59Z,2900.0,0,566.0,437.0,541.0,0,276.0,374.0,374.0,12485.0
2017-05-08T23:59:59Z,2924.0,0,568.0,437.0,539.0,0,275.0,372.0,378.0,12539.0
2017-05-09T23:59:59Z,2911.0,0,564.0,435.0,535.0,0,276.0,369.0,380.0,12537.0
2017-05-10T23:59:59Z,2928.0,0,561.0,434.0,540.0,0,274.0,363.0,383.0,12516.0
2017-05-11T23:59:59Z,2939.0,0,560.0,439.0,540.0,0,271.0,361.0,380.0,12549.0
2017-05-12T23:59:59Z,2916.0,0,560.0,442.0,538.0,0,275.0,359.0,377.0,12556.0
